GROUP,CUST,MAKER,VENDOR_ID,STYLE,IE,CPO,EXP_DATE,COLOR_CODE,SIZE_CODE,CPO_QTY,ACC_QTY,CUTTING,SEWING,RECEIVING,PACKING,OE_FOLDERID,SHIP_CPO_ID,ERP_COLOR_ID,ERP_SIZE_ID,create_time
202611,BYY,GLD1,79965, 00AC5_S27,2.2500, 2100240860,11/9/2026 12:00:00 AM,SILVER MIST BY,S,156,156,,,,,4800818,2359445,513859,799504,8/13/2026 2:35:00 AM
202611,BYY,GLD1,79965, 00AC5_S27,2.2500, 2100240860,11/9/2026 12:00:00 AM,SILVER MIST BY,L,74,74,,,,,4800818,2359445,513859,799505,8/13/2026 2:35:00 AM
202611,BYY,GLD1,79965, 00AC5_S27,2.2500, 2100240860,11/9/2026 12:00:00 AM,SILVER MIST BY,XL,45,45,,,,,4800818,2359445,513859,799506,8/13/2026 2:35:00 AM
202611,BYY,GLD1,79965, 00AC5_S27,2.2500, 2100240860,11/9/2026 12:00:00 AM,SILVER MIST BY,XS,54,54,,,,,4800818,2359445,513859,799507,8/13/2026 2:35:00 AM
202611,BYY,GLD1,79965, 00AC5_S27,2.2500, 2100240860,11/9/2026 12:00:00 AM,SILVER MIST BY,XXS,7,7,,,,,4800818,2359445,513859,799508,8/13/2026 2:35:00 AM
202611,BYY,GLD1,79965, 00AC5_S27,2.2500, 2100240860,11/9/2026 12:00:00 AM,SILVER MIST BY,M,166,166,,,,,4800818,2359445,513859,799509,8/13/2026 2:35:00 AM
202611,BYY,GLD1,79965, 00AC5_S27,2.2500, 2100240858,11/9/2026 12:00:00 AM,DARKEST NIGHT BY,S,181,181,,,,,4800818,2359443,513860,799504,8/13/2026 2:35:00 AM
202611,BYY,GLD1,79965, 00AC5_S27,2.2500, 2100240858,11/9/2026 12:00:00 AM,DARKEST NIGHT BY,L,40,40,,,,,4800818,2359443,513860,799505,8/13/2026 2:35:00 AM
202611,BYY,GLD1,79965, 00AC5_S27,2.2500, 2100240858,11/9/2026 12:00:00 AM,DARKEST NIGHT BY,XL,50,50,,,,,4800818,2359443,513860,799506,8/13/2026 2:35:00 AM
202611,BYY,GLD1,79965, 00AC5_S27,2.2500, 2100240858,11/9/2026 12:00:00 AM,DARKEST NIGHT BY,XS,136,136,,,,,4800818,2359443,513860,799507,8/13/2026 2:35:00 AM
202611,BYY,GLD1,79965, 00AC5_S27,2.2500, 2100240858,11/9/2026 12:00:00 AM,DARKEST NIGHT BY,XXS,7,7,,,,,4800818,2359443,513860,799508,8/13/2026 2:35:00 AM
202611,BYY,GLD1,79965, 00AC5_S27,2.2500, 2100240858,11/9/2026 12:00:00 AM,DARKEST NIGHT BY,M,86,86,,,,,4800818,2359443,513860,799509,8/13/2026 2:35:00 AM
