DELIVERY SCHEDULE ON AGUSTUS 2026,,,,,,,,,, ,,,
Actual Exp Date,ORG DELVY,BUYER,MAKER,SHIPER,STYLE,BUYER PO.,Order QTY,SHIP MODE,% OVER/SHORT,PPIC,,,
,,,,,,,,,,Plan Exp QTY (PC),QTY CTN ,Bal -Order,QTY (DZ)
2025-01-02,2024-12-24,G.U,GLD1,GLD,60225H036A,M_N097,36,SEA,0,36,3,0,3
2025-01-02,2024-12-24,G.U,GLD1,GLD,60225H036A,M_N098,36,SEA,0,36,3,0,3
2025-01-02,2024-12-18,G.U,GLD1,GLD,60225H036A,M_N099,12,SEA,0,12,1,0,1
2025-01-02,2024-12-18,G.U,GLD1,GLD,60225H036A,M_N100,12,SEA,0,12,1,0,1
2025-01-02,2024-12-18,G.U,GLD1,GLD,60225H036A,M_N101,12,SEA,0,12,1,0,1
2025-01-02,2024-12-18,G.U,GLD1,GLD,60225H036A,M_N102,12,SEA,0,12,1,0,1
2025-01-02,2024-12-18,G.U,GLD1,GLD,60225H036A,M_N103,12,SEA,0,12,1,0,1
2025-01-02,2024-12-18,G.U,GLD1,GLD,60225H036A,M_N104,24,SEA,0,24,2,0,2
2025-01-02,2024-12-18,G.U,GLD1,GLD,60225H036A,M_N105,36,SEA,0,36,3,0,3
2025-01-02,2024-12-18,G.U,GLD1,GLD,60225H036A,M_SOLID6,4512,SEA,0.037234,4680,390,168,390
2025-01-03,2024-12-24,G.U,GLD1,GLD,60225H036A,M_SOLID7,2376,SEA,0.035354,2460,205,84,205
2025-01-02,2024-12-18,G.U,GLD1,GLD,60225H036A,M_SOLID7_1,756,SEA,0,756,63,0,63
2025-01-02,2024-12-24,G.U,GLD1,GLD,60225H036A,W_F056,864,SEA,0,864,72,0,72
2025-01-02,2024-12-24,G.U,GLD1,GLD,60225H036A,W_F057,456,SEA,0,456,38,0,38
2025-01-02,2024-12-24,G.U,GLD1,GLD,60225H036A,W_N078,24,SEA,0,24,2,0,2
2025-01-02,2024-12-24,G.U,GLD1,GLD,60225H036A,W_N079,12,SEA,0,12,1,0,1
2025-01-02,2024-12-24,G.U,GLD1,GLD,60225H036A,W_N080,12,SEA,0,12,1,0,1
2025-01-02,2024-12-24,G.U,GLD1,GLD,60225H036A,W_N081,12,SEA,0,12,1,0,1
2025-01-02,2024-12-24,G.U,GLD1,GLD,60225H036A,W_N082,12,SEA,0,12,1,0,1
2025-01-02,2024-12-24,G.U,GLD1,GLD,60225H036A,W_N083,36,SEA,0,36,3,0,3
2025-01-02,2024-12-24,G.U,GLD1,GLD,60225H036A,W_N084,36,SEA,0,36,3,0,3
2025-01-02,2024-12-24,G.U,GLD1,GLD,60225H036A,W_N085,36,SEA,0,36,3,0,3
2025-01-02,2024-12-24,G.U,GLD1,GLD,60225H036A,W_N086,12,SEA,0,12,1,0,1
2025-01-02,2024-12-24,G.U,GLD1,GLD,60225H036A,W_N087,12,SEA,0,12,1,0,1
2025-01-02,2024-12-24,G.U,GLD1,GLD,60225H036A,W_N088,12,SEA,0,12,1,0,1
2025-01-02,2024-12-24,G.U,GLD1,GLD,60225H036A,W_N089,12,SEA,0,12,1,0,1
2025-01-02,2024-12-24,G.U,GLD1,GLD,60225H036A,W_N090,60,SEA,0,60,5,0,5
2025-01-02,2024-12-24,G.U,GLD1,GLD,60225H036A,W_N091,72,SEA,0,72,6,0,6
2025-01-02,2024-12-24,G.U,GLD1,GLD,60225H036A,W_N092,12,SEA,0,12,1,0,1
2025-01-02,2024-12-24,G.U,GLD1,GLD,60225H036A,W_N093,12,SEA,0,12,1,0,1
2025-01-02,2024-12-24,G.U,GLD1,GLD,60225H036A,W_N094,12,SEA,0,12,1,0,1
2025-01-02,2024-12-24,G.U,GLD1,GLD,60225H036A,W_N095,12,SEA,0,12,1,0,1
2025-01-02,2024-12-24,G.U,GLD1,GLD,60225H036A,W_N096,12,SEA,0,12,1,0,1
2025-01-02,2024-12-24,G.U,GLD1,GLD,60225H036A,W_N097,24,SEA,0,24,2,0,2
2025-01-02,2024-12-24,G.U,GLD1,GLD,60225H036A,W_N098,36,SEA,0,36,3,0,3
2025-01-03,2024-12-24,G.U,GLD1,GLD,60225H036A,W_SOLID7,2172,SEA,0.038674,2256,188,84,188
2025-01-02,2024-12-27,G.U,GLD1,GLD,60325N030B,P_E030,84,AIR,0,84,7,0,7
2025-01-02,2024-12-27,G.U,GLD1,GLD,60325N030B,P_E031,36,AIR,0,36,3,0,3
2025-01-02,2024-12-27,G.U,GLD1,GLD,60325N030B,P_E032,36,AIR,0,36,3,0,3
2025-01-02,2024-12-27,G.U,GLD1,GLD,60325N030B,P_E060,72,AIR,0,72,6,0,6
2025-01-02,2024-12-27,G.U,GLD1,GLD,60325N030B,P_E061,24,AIR,0,24,2,0,2
2025-01-02,2024-12-27,G.U,GLD1,GLD,60325N030B,P_E062,24,AIR,0,24,2,0,2
2025-01-02,2024-12-27,G.U,GLD1,GLD,60325N030B,P_E063,24,AIR,0,24,2,0,2
2025-01-02,2024-12-27,G.U,GLD1,GLD,60325N030B,P_F019,60,AIR,0,60,5,0,5
2025-01-02,2024-12-27,G.U,GLD1,GLD,60325N030B,P_F020,216,AIR,0,216,18,0,18
2025-01-02,2024-12-27,G.U,GLD1,GLD,60325N030B,P_F021,72,AIR,0,72,6,0,6
2025-01-02,2024-12-27,G.U,GLD1,GLD,60325N030B,P_F022,12,AIR,0,12,1,0,1
2025-01-02,2024-12-27,G.U,GLD1,GLD,60325N030B,P_F023,60,AIR,0,60,5,0,5
2025-01-02,2024-12-27,G.U,GLD1,GLD,60325N030B,P_F024,36,AIR,0,36,3,0,3
2025-01-02,2024-12-27,G.U,GLD1,GLD,60325N030B,P_F025,12,AIR,0,12,1,0,1
2025-01-02,2024-12-27,G.U,GLD1,GLD,60325N030B,P_F026,60,AIR,0,60,5,0,5
2025-01-02,2024-12-27,G.U,GLD1,GLD,60325N030B,P_F027,48,AIR,0,48,4,0,4
2025-01-02,2024-12-27,G.U,GLD1,GLD,60325N030B,P_I016,72,AIR,0,72,6,0,6
2025-01-02,2024-12-27,G.U,GLD1,GLD,60325N030B,P_I017,24,AIR,0,24,2,0,2
2025-01-02,2024-12-27,G.U,GLD1,GLD,60325N030B,P_I018,24,AIR,0,24,2,0,2
2025-01-02,2024-12-18,G.U,GLD1,GLD,60375N066B,P_E032,24,SEA,0,24,2,0,2
2025-01-02,2024-12-18,G.U,GLD1,GLD,60375N066B,P_E033,12,SEA,0,12,1,0,1
2025-01-02,2024-12-18,G.U,GLD1,GLD,60375N066B,P_E034,12,SEA,0,12,1,0,1
2025-01-02,2024-12-18,G.U,GLD1,GLD,60375N066B,P_E035,12,SEA,0,12,1,0,1
2025-01-02,2024-12-18,G.U,GLD1,GLD,60375N066B,P_E036,12,SEA,0,12,1,0,1
2025-01-02,2024-12-18,G.U,GLD1,GLD,60375N066B,P_F037,12,SEA,0,12,1,0,1
2025-01-02,2024-12-18,G.U,GLD1,GLD,60375N066B,P_F038,24,SEA,0,24,2,0,2
2025-01-02,2024-12-18,G.U,GLD1,GLD,60375N066B,P_F039,12,SEA,0,12,1,0,1
2025-01-02,2024-12-18,G.U,GLD1,GLD,60375N066B,P_F040,36,SEA,0,36,3,0,3
2025-01-02,2024-12-18,G.U,GLD1,GLD,60375N066B,P_F041,36,SEA,0,36,3,0,3
2025-01-02,2024-12-18,G.U,GLD1,GLD,60375N066B,P_F042,36,SEA,0,36,3,0,3
2025-01-02,2024-12-18,G.U,GLD1,GLD,60375N066B,P_F043,36,SEA,0,36,3,0,3
2025-01-02,2024-12-18,G.U,GLD1,GLD,60375N066B,P_F044,48,SEA,0,48,4,0,4
2025-01-02,2024-12-18,G.U,GLD1,GLD,60375N066B,P_F045,48,SEA,0,48,4,0,4
2025-01-02,2024-12-18,G.U,GLD1,GLD,60375N066B,P_F046,12,SEA,0,12,1,0,1
2025-01-02,2024-12-18,G.U,GLD1,GLD,60375N066B,P_F047,24,SEA,0,24,2,0,2
2025-01-02,2024-12-18,G.U,GLD1,GLD,60375N066B,P_F048,12,SEA,0,12,1,0,1
2025-01-02,2024-12-18,G.U,GLD1,GLD,60375N066B,P_F049,12,SEA,0,12,1,0,1
2025-01-02,2024-12-18,G.U,GLD1,GLD,60375N066B,P_F050,12,SEA,0,12,1,0,1
2025-01-02,2024-12-18,G.U,GLD1,GLD,60375N066B,P_F051,36,SEA,0,36,3,0,3
2025-01-02,2024-12-18,G.U,GLD1,GLD,60375N066B,P_F052,36,SEA,0,36,3,0,3
2025-01-02,2024-11-13,G.U,GLD1,GLD,60225H043A,M_N023,12,SEA,0,12,1,0,1
2025-01-02,2024-11-13,G.U,GLD1,GLD,60225H043A,M_N024,24,SEA,0,24,2,0,2
2025-01-02,2024-11-13,G.U,GLD1,GLD,60225H043A,M_N029,12,SEA,0,12,1,0,1
2025-01-02,2024-11-13,G.U,GLD1,GLD,60225H043A,M_R005,12,SEA,0,12,1,0,1
2025-01-02,2024-11-13,G.U,GLD1,GLD,60225H043A,M_R006,11,SEA,0,11,1,0,0.916667
2025-01-02,2024-11-13,G.U,GLD1,GLD,60225H043A,M_R007,7,SEA,0,7,1,0,0.583333
2025-01-02,2024-11-13,G.U,GLD1,GLD,60225H043A,M_R008,9,SEA,0,9,1,0,0.75
2025-01-02,2024-11-13,G.U,GLD1,GLD,60225H043A,M_R009,9,SEA,0,9,1,0,0.75
2025-01-02,2024-11-13,G.U,GLD1,GLD,60225H043A,M_SOLID2,93,SEA,0,93,5,0,7.75
2025-01-03,2024-12-24,G.U,GLD1,GLD,60125H010C,T_F058,2592,SEA,0,2592,216,0,216
2025-01-03,2024-12-24,G.U,GLD1,GLD,60125H010C,T_F059,1296,SEA,0,1296,108,0,108
2025-01-03,2024-12-24,G.U,GLD1,GLD,60125H010C,T_F060,2268,SEA,0,2268,189,0,189
2025-01-03,2024-12-24,G.U,GLD1,GLD,60125H010C,T_N085,36,SEA,0,36,3,0,3
2025-01-03,2024-12-24,G.U,GLD1,GLD,60125H010C,T_N086,24,SEA,0,24,2,0,2
2025-01-03,2024-12-24,G.U,GLD1,GLD,60125H010C,T_N087,24,SEA,0,24,2,0,2
2025-01-03,2024-12-24,G.U,GLD1,GLD,60125H010C,T_N088,24,SEA,0,24,2,0,2
2025-01-03,2024-12-24,G.U,GLD1,GLD,60125H010C,T_N089,36,SEA,0,36,3,0,3
2025-01-03,2024-12-24,G.U,GLD1,GLD,60125H010C,T_N090,36,SEA,0,36,3,0,3
2025-01-03,2024-12-24,G.U,GLD1,GLD,60125H010C,T_N091,216,SEA,0,216,18,0,18
2025-01-03,2024-12-24,G.U,GLD1,GLD,60125H010C,T_N092,24,SEA,0,24,2,0,2
2025-01-03,2024-12-24,G.U,GLD1,GLD,60125H010C,T_N093,12,SEA,0,12,1,0,1
2025-01-03,2024-12-24,G.U,GLD1,GLD,60125H010C,T_N094,12,SEA,0,12,1,0,1
2025-01-03,2024-12-24,G.U,GLD1,GLD,60125H010C,T_N095,24,SEA,0,24,2,0,2
2025-01-03,2024-12-24,G.U,GLD1,GLD,60125H010C,T_N096,24,SEA,0,24,2,0,2
2025-01-03,2024-12-24,G.U,GLD1,GLD,60125H010C,T_N097,12,SEA,0,12,1,0,1
2025-01-03,2024-12-24,G.U,GLD1,GLD,60125H010C,T_N098,156,SEA,0,156,13,0,13
2025-01-03,2024-12-24,G.U,GLD1,GLD,60125H010C,T_N099,36,SEA,0,36,3,0,3
2025-01-03,2024-12-24,G.U,GLD1,GLD,60125H010C,T_N100,12,SEA,0,12,1,0,1
2025-01-03,2024-12-24,G.U,GLD1,GLD,60125H010C,T_N101,12,SEA,0,12,1,0,1
2025-01-03,2024-12-24,G.U,GLD1,GLD,60125H010C,T_N102,24,SEA,0,24,2,0,2
2025-01-03,2024-12-24,G.U,GLD1,GLD,60125H010C,T_N103,24,SEA,0,24,2,0,2
2025-01-03,2024-12-24,G.U,GLD1,GLD,60125H010C,T_N104,24,SEA,0,24,2,0,2
2025-01-03,2024-12-24,G.U,GLD1,GLD,60125H010C,T_N105,144,SEA,0,144,12,0,12
2025-01-03,2024-12-24,G.U,GLD1,GLD,60125H010C,T_SOLID_005,3726,SEA,0.096618,4086,227,360,340.5
2025-01-03,2024-12-24,G.U,GLD1,GLD,60125H010C,W_F058,2208,SEA,0,2208,184,0,184
2025-01-03,2024-12-24,G.U,GLD1,GLD,60125H010C,W_F059,1104,SEA,0,1104,92,0,92
2025-01-03,2024-12-24,G.U,GLD1,GLD,60125H010C,W_F060,1932,SEA,0,1932,161,0,161
2025-01-03,2024-12-24,G.U,GLD1,GLD,60125H010C,W_N085,24,SEA,0,24,2,0,2
2025-01-03,2024-12-24,G.U,GLD1,GLD,60125H010C,W_N086,12,SEA,0,12,1,0,1
2025-01-03,2024-12-24,G.U,GLD1,GLD,60125H010C,W_N087,12,SEA,0,12,1,0,1
2025-01-03,2024-12-24,G.U,GLD1,GLD,60125H010C,W_N088,24,SEA,0,24,2,0,2
2025-01-03,2024-12-24,G.U,GLD1,GLD,60125H010C,W_N089,24,SEA,0,24,2,0,2
2025-01-03,2024-12-24,G.U,GLD1,GLD,60125H010C,W_N090,24,SEA,0,24,2,0,2
2025-01-03,2024-12-24,G.U,GLD1,GLD,60125H010C,W_N091,180,SEA,0,180,15,0,15
2025-01-03,2024-12-24,G.U,GLD1,GLD,60125H010C,W_N092,12,SEA,0,12,1,0,1
2025-01-03,2024-12-24,G.U,GLD1,GLD,60125H010C,W_N093,12,SEA,0,12,1,0,1
2025-01-03,2024-12-24,G.U,GLD1,GLD,60125H010C,W_N094,12,SEA,0,12,1,0,1
2025-01-03,2024-12-24,G.U,GLD1,GLD,60125H010C,W_N095,12,SEA,0,12,1,0,1
2025-01-03,2024-12-24,G.U,GLD1,GLD,60125H010C,W_N096,12,SEA,0,12,1,0,1
2025-01-03,2024-12-24,G.U,GLD1,GLD,60125H010C,W_N097,12,SEA,0,12,1,0,1
2025-01-03,2024-12-24,G.U,GLD1,GLD,60125H010C,W_N098,144,SEA,0,144,12,0,12
2025-01-03,2024-12-24,G.U,GLD1,GLD,60125H010C,W_N099,24,SEA,0,24,2,0,2
2025-01-03,2024-12-24,G.U,GLD1,GLD,60125H010C,W_N100,12,SEA,0,12,1,0,1
2025-01-03,2024-12-24,G.U,GLD1,GLD,60125H010C,W_N101,12,SEA,0,12,1,0,1
2025-01-03,2024-12-24,G.U,GLD1,GLD,60125H010C,W_N102,12,SEA,0,12,1,0,1
2025-01-03,2024-12-24,G.U,GLD1,GLD,60125H010C,W_N103,12,SEA,0,12,1,0,1
2025-01-03,2024-12-24,G.U,GLD1,GLD,60125H010C,W_N104,24,SEA,0,24,2,0,2
2025-01-03,2024-12-24,G.U,GLD1,GLD,60125H010C,W_N105,132,SEA,0,132,11,0,11
2025-01-03,2024-12-24,G.U,GLD1,GLD,60125H010C,W_SOLID_005,3204,SEA,0.095506,3510,195,306,292.5
2025-01-03,2024-12-24,G.U,GLD1,GLD,60225H036A_1,M_N243,36,SEA,0,36,3,0,3
2025-01-03,2024-12-24,G.U,GLD1,GLD,60225H036A_1,M_N244,24,SEA,0,24,2,0,2
2025-01-03,2024-12-24,G.U,GLD1,GLD,60225H036A_1,M_N245,24,SEA,0,24,2,0,2
2025-01-03,2024-12-24,G.U,GLD1,GLD,60225H036A_1,M_N246,24,SEA,0,24,2,0,2
2025-01-03,2024-12-24,G.U,GLD1,GLD,60225H036A_1,M_N247,12,SEA,0,12,1,0,1
2025-01-03,2024-12-24,G.U,GLD1,GLD,60225H036A_1,M_N248,60,SEA,0,60,5,0,5
2025-01-03,2024-12-24,G.U,GLD1,GLD,60225H036A_1,M_N249,60,SEA,0,60,5,0,5
2025-01-03,2024-12-24,G.U,GLD1,GLD,60225H036A_1,M_SOLID8_1,924,SEA,-0.051948,876,73,-48,73
2025-01-03,2024-12-24,G.U,GLD1,GLD,60225H036A_1,W_N243,36,SEA,0,36,3,0,3
2025-01-03,2024-12-24,G.U,GLD1,GLD,60225H036A_1,W_N244,24,SEA,0,24,2,0,2
2025-01-03,2024-12-24,G.U,GLD1,GLD,60225H036A_1,W_N245,24,SEA,0,24,2,0,2
2025-01-03,2024-12-24,G.U,GLD1,GLD,60225H036A_1,W_N246,12,SEA,0,12,1,0,1
2025-01-03,2024-12-24,G.U,GLD1,GLD,60225H036A_1,W_N247,12,SEA,0,12,1,0,1
2025-01-03,2024-12-24,G.U,GLD1,GLD,60225H036A_1,W_N248,60,SEA,0,60,5,0,5
2025-01-03,2024-12-24,G.U,GLD1,GLD,60225H036A_1,W_N249,60,SEA,0,60,5,0,5
2025-01-03,2024-12-24,G.U,GLD1,GLD,60225H036A_1,W_SOLID8_1,852,SEA,0,852,71,0,71
2024-12-30,2024-12-24,G.U,GLD1,GLD,60325N030B,DT_KR_E001,540,SEA,0,540,45,0,45
2024-12-30,2024-12-24,G.U,GLD1,GLD,60325N030B,DT_KR_E002,456,SEA,0,456,38,0,38
2024-12-30,2024-12-24,G.U,GLD1,GLD,60325N030B,DT_KR_E003,324,SEA,0,324,27,0,27
2024-12-30,2024-12-24,G.U,GLD1,GLD,60325N030B,DT_KR_E004,276,SEA,0,276,23,0,23
2024-12-30,2024-12-24,G.U,GLD1,GLD,60325N030B,DT_KR_E005,228,SEA,0,228,19,0,19
2024-12-30,2024-12-24,G.U,GLD1,GLD,60325N030B,DT_KR_E006,180,SEA,0,180,15,0,15
